구분,설비용량(KW),발전소 개수,위도,경도
서울,"2,016.00",16,37.57,126.97
부산,"32,062.00",189,35.10,129.03
대구,"42,099.00",348,35.88,128.65
인천,"15,312.00",99,37.456009, 126.697451
광주,"29,475.00",205,35.17,126.89
대전,"4,756.00",92,36.37,127.37
울산,"23,207.00",74,35.58,129.33
세종,"7,635.00",47,36.49,127.24
경기,"212,941.00","1,959",37.90,127.06
충북,"168,091.00","1,616",36.64,127.44
충남,"273,529.00","2,630",36.78,126.49
전남,"841,821.00","3,037",34.76,127.21
경북,"439,370.00","4,118",36.44,129.04
경남,"180,626.00","1,863",35.16,128.04
제주,"23,420.00",45,33.51,126.53
강원,"147,921.00","1,123",37.95,127.75
전북,"309,416.00","3,288",35.37,127.13
